bin	con	wei
1	CG	0.06976687296655985
1	CHG	0.025054012345679014
1	CHH	0.008908526792846273
2	CG	0.07340869873728008
2	CHG	0.02548798566928161
2	CHH	0.009051880059785031
3	CG	0.07049328229011728
3	CHG	0.026229820165561864
3	CHH	0.009586046945195359
4	CG	0.06914060947991577
4	CHG	0.027143996969672547
4	CHH	0.010109796053344597
5	CG	0.06442988033519188
5	CHG	0.025244382131868987
5	CHH	0.009868803776323735
6	CG	0.06257828268726016
6	CHG	0.025725082359020737
6	CHH	0.009663416985350884
7	CG	0.06755318723346375
7	CHG	0.024849951755605344
7	CHH	0.010135907672047322
8	CG	0.06413441528062336
8	CHG	0.026657737195873932
8	CHH	0.00991961053998202
9	CG	0.06818022672278977
9	CHG	0.027239694681309393
9	CHH	0.009941025240754887
10	CG	0.058567421279285686
10	CHG	0.02402080911318719
10	CHH	0.00931112323017555
11	CG	0.06619327197715011
11	CHG	0.025502434779698456
11	CHH	0.010048548550608332
12	CG	0.06953311893030846
12	CHG	0.02509086940827856
12	CHH	0.010053362541546165
13	CG	0.0680391547545059
13	CHG	0.024773043335550353
13	CHH	0.010224414376423893
14	CG	0.05755926871157766
14	CHG	0.024028611797951255
14	CHH	0.009950852824242523
15	CG	0.052371154223006075
15	CHG	0.022023830507279584
15	CHH	0.00931203317700191
16	CG	0.04617981855879629
16	CHG	0.02097908418750113
16	CHH	0.009218421492655142
17	CG	0.031612596726010744
17	CHG	0.017628875352304754
17	CHH	0.007899227933960001
18	CG	0.02744142943577725
18	CHG	0.01530251689709533
18	CHH	0.0070792156494323775
19	CG	0.025033438827046346
19	CHG	0.012563385923545424
19	CHH	0.006029100495747832
20	CG	0.02041359445201083
20	CHG	0.012631558786067936
20	CHH	0.00470053629784817
21	CG	0.010926727075755293
21	CHG	0.006846137411103989
21	CHH	0.0033271476618652127
22	CG	0.011099427503212992
22	CHG	0.006161225280681161
22	CHH	0.003181059957522029
23	CG	0.015875123186666736
23	CHG	0.0060810039628716355
23	CHH	0.0034915085007556296
24	CG	0.01856081760303809
24	CHG	0.008093284522470231
24	CHH	0.0038352408044057336
25	CG	0.020609288227232854
25	CHG	0.007521977795204094
25	CHH	0.00358075201792296
26	CG	0.027920018693460627
26	CHG	0.007228552141717465
26	CHH	0.0035472576533278235
27	CG	0.027324892665657803
27	CHG	0.006863808524636805
27	CHH	0.0034938915120112596
28	CG	0.033210177907936386
28	CHG	0.006177492462211218
28	CHH	0.0035747075025306624
29	CG	0.03501555735691302
29	CHG	0.007060781128056113
29	CHH	0.0035499672536023967
30	CG	0.03600366861170489
30	CHG	0.0068672740069589695
30	CHH	0.003550940266042641
31	CG	0.04212510995428786
31	CHG	0.007852817450268357
31	CHH	0.0037946485542881664
32	CG	0.04124635493620474
32	CHG	0.0068740371212676985
32	CHH	0.0034358837958447853
33	CG	0.03867929816693761
33	CHG	0.006682479420166401
33	CHH	0.00362317762260739
34	CG	0.0384262671774481
34	CHG	0.00751954911983214
34	CHH	0.0035387099984293714
35	CG	0.03871562766865926
35	CHG	0.007434719096496307
35	CHH	0.0037097974976156027
36	CG	0.03480971819410578
36	CHG	0.006612546269523482
36	CHH	0.0036447051526208923
37	CG	0.03411775379972915
37	CHG	0.0061369485180943935
37	CHH	0.0034130993106676285
38	CG	0.032396136544059276
38	CHG	0.0067932301073523145
38	CHH	0.003461836844303873
39	CG	0.025976889672906005
39	CHG	0.0068544241822566165
39	CHH	0.0037028953373428306
40	CG	0.02805099753022432
40	CHG	0.0092557312503969
40	CHH	0.004042513015564727
41	CG	0.036904671621416654
41	CHG	0.011017263470227258
41	CHH	0.004987250389111501
42	CG	0.03864691963894488
42	CHG	0.01174161870119633
42	CHH	0.005827823240589198
43	CG	0.04387723945568126
43	CHG	0.01356532921407344
43	CHH	0.006499460482323487
44	CG	0.045448133170318816
44	CHG	0.014160076515734714
44	CHH	0.006701658062852181
45	CG	0.04352955597094965
45	CHG	0.014719208071578145
45	CHH	0.007405030012086779
46	CG	0.05272884913753765
46	CHG	0.016805113703310948
46	CHH	0.008219503405577885
47	CG	0.054370385744359116
47	CHG	0.01741330334950882
47	CHH	0.008316987488502499
48	CG	0.056222024625864696
48	CHG	0.018372761441521113
48	CHH	0.008252930332857988
49	CG	0.04921538530319062
49	CHG	0.015174540575401973
49	CHH	0.007808174368400259
50	CG	0.054464860769085056
50	CHG	0.016207789151664903
50	CHH	0.007830359760975457
51	CG	0.057361229058905276
51	CHG	0.017000525170680472
51	CHH	0.007425074889617672
52	CG	0.050545415271627606
52	CHG	0.01717086084835505
52	CHH	0.007687209507392806
53	CG	0.05125707536316363
53	CHG	0.01676811677821371
53	CHH	0.00786431186916193
54	CG	0.055035221905958304
54	CHG	0.016076508596925835
54	CHH	0.007893510303040668
55	CG	0.04994933254605951
55	CHG	0.015824020391475065
55	CHH	0.0073777833204843315
56	CG	0.05300372513030212
56	CHG	0.01679378223287572
56	CHH	0.0074424648419951205
57	CG	0.053735203892529594
57	CHG	0.015817645559480027
57	CHH	0.007637462957380369
58	CG	0.055018278099077694
58	CHG	0.016129953588004283
58	CHH	0.007223475652065679
59	CG	0.05312080751293682
59	CHG	0.01654245873482577
59	CHH	0.007439006029495056
60	CG	0.05457195249877884
60	CHG	0.017927415828596416
60	CHH	0.007405113509872534
