chr	pos	str	con	per_site_wei
Chr1	34	-	CHG	0.5
Chr1	108	+	CHG	0.5714285714285714
Chr1	117	-	CHG	0.2
Chr1	123	+	CHG	0.6363636363636364
Chr1	125	-	CHG	1.0
Chr1	391	-	CHG	0.11764705882352941
Chr1	562	+	CHG	0.17647058823529413
Chr1	573	+	CHG	0.4444444444444444
Chr1	575	-	CHG	0.5555555555555556
Chr1	792	-	CHG	0.8
Chr1	795	+	CHG	1.0
Chr1	797	-	CHG	0.7333333333333333
Chr1	808	+	CHG	0.4
Chr1	812	+	CHG	1.0
Chr1	814	-	CHG	0.7857142857142857
Chr1	858	-	CHG	0.9090909090909091
Chr1	927	+	CHG	0.4
Chr1	929	-	CHG	0.5384615384615384
Chr1	947	+	CHG	0.21428571428571427
Chr1	1051	+	CHG	0.5833333333333334
Chr1	1227	+	CHG	0.36363636363636365
Chr1	1229	-	CHG	0.7142857142857143
Chr1	1251	+	CHG	0.5384615384615384
Chr1	1253	-	CHG	0.5555555555555556
Chr1	1304	+	CHG	0.38461538461538464
Chr1	1306	-	CHG	0.6666666666666666
Chr1	1323	+	CHG	0.2857142857142857
Chr1	17658	+	CHG	0.4166666666666667
Chr1	17660	-	CHG	0.5714285714285714
Chr1	17672	+	CHG	0.5833333333333334
Chr1	17674	-	CHG	0.5
Chr1	17679	+	CHG	0.5833333333333334
Chr1	17681	-	CHG	0.8
Chr1	17834	-	CHG	0.4
Chr1	17961	+	CHG	0.6
Chr1	18060	-	CHG	0.7142857142857143
Chr1	18063	-	CHG	0.8571428571428571
Chr1	18094	-	CHG	1.0
Chr1	18326	-	CHG	0.8
Chr1	18338	-	CHG	0.6
Chr1	18366	-	CHG	0.4
Chr1	18452	+	CHG	1.0
Chr1	18467	+	CHG	0.6666666666666666
Chr1	18486	+	CHG	0.6363636363636364
Chr1	18518	-	CHG	0.6
Chr1	18700	+	CHG	0.7
Chr1	18717	-	CHG	0.2727272727272727
Chr1	18744	+	CHG	0.8
Chr1	18746	-	CHG	0.9375
Chr1	18792	-	CHG	0.3076923076923077
Chr1	44685	+	CHG	0.5
Chr1	44687	-	CHG	0.625
Chr1	44691	+	CHG	0.375
Chr1	44693	-	CHG	0.25
Chr1	44698	+	CHG	0.625
Chr1	44700	-	CHG	0.625
Chr1	44714	+	CHG	0.75
Chr1	44716	-	CHG	1.0
Chr1	44723	+	CHG	1.0
Chr1	44738	+	CHG	1.0
Chr1	55932	-	CHG	1.0
Chr1	55966	-	CHG	0.5714285714285714
Chr1	55990	-	CHG	0.8
Chr1	56093	+	CHG	0.5555555555555556
Chr1	56147	+	CHG	0.5
Chr1	56172	+	CHG	0.7777777777777778
Chr1	56201	+	CHG	0.5555555555555556
Chr1	56258	+	CHG	0.375
Chr1	56380	+	CHG	0.8571428571428571
Chr1	56382	-	CHG	1.0
Chr1	56449	+	CHG	1.0
Chr1	56489	+	CHG	1.0
