Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene_1	jgi.p|Botci1|1	Supercontig_1.1	-	2312	3385	0.903168	0.692480	0.691140
gene_2	jgi.p|Botci1|2	Supercontig_1.1	+	4181	6006	2.350227	1.801974	1.798487
gene_3	jgi.p|Botci1|3	Supercontig_1.1	+	6330	7741	4.264615	3.269780	3.263453
gene_4	jgi.p|Botci1|4	Supercontig_1.1	-	10016	12049	41.177704	31.571905	31.510820
gene_8	jgi.p|Botci1|8	Supercontig_1.1	-	18030	19651	3.275081	2.511081	2.506222
gene_5	jgi.p|Botci1|5	Supercontig_1.1	-	14754	14861	82.620369	63.346962	63.224400
gene_6	jgi.p|Botci1|6	Supercontig_1.1	+	15248	15469	8.954955	6.865973	6.852688
gene_7	jgi.p|Botci1|7	Supercontig_1.1	+	15916	17130	144.307602	110.644005	110.429924
gene_9	jgi.p|Botci1|9	Supercontig_1.1	+	21637	23146	56.394558	43.239025	43.155361
gene_19	jgi.p|Botci1|19	Supercontig_1.1	-	36635	38315	5.150761	3.949208	3.941568
gene_21	jgi.p|Botci1|21	Supercontig_1.1	-	42401	42996	3.259649	2.499249	2.494413
gene_24	jgi.p|Botci1|24	Supercontig_1.1	-	47006	47196	0.000000	0.000000	0.000000
gene_20	jgi.p|Botci1|20	Supercontig_1.1	+	39296	41569	1.935356	1.483883	1.481012
gene_22	jgi.p|Botci1|22	Supercontig_1.1	-	45161	45820	3.201231	2.454458	2.449710
gene_10	jgi.p|Botci1|10	Supercontig_1.1	-	25105	26869	91.522987	70.172813	70.037033
gene_11	jgi.p|Botci1|11	Supercontig_1.1	-	27723	29647	138.347931	106.074593	105.869354
gene_12	jgi.p|Botci1|12	Supercontig_1.1	+	29978	30163	531.220459	407.299133	406.511047
gene_13	jgi.p|Botci1|13	Supercontig_1.1	+	30826	31149	125.984558	96.595299	96.408409
gene_14	jgi.p|Botci1|14	Supercontig_1.1	-	31667	32032	8.250996	6.326231	6.313991
gene_15	jgi.p|Botci1|15	Supercontig_1.1	+	32381	32515	17.703703	13.573842	13.547578
gene_16	jgi.p|Botci1|16	Supercontig_1.1	+	33099	33403	7.379953	5.658382	5.647434
gene_17	jgi.p|Botci1|17	Supercontig_1.1	+	34196	35459	104.512909	80.132484	79.977448
gene_18	jgi.p|Botci1|18	Supercontig_1.1	-	35542	36206	46.426353	35.596169	35.527294
