chr	pos	str	con	per_site_wei
Chr1	86	+	CHH	0.2
Chr1	126	-	CHH	0.3333333333333333
Chr1	135	+	CHH	0.26666666666666666
Chr1	139	-	CHH	0.21428571428571427
Chr1	141	-	CHH	0.35714285714285715
Chr1	150	-	CHH	0.26666666666666666
Chr1	170	-	CHH	0.14285714285714285
Chr1	176	-	CHH	0.2857142857142857
Chr1	177	+	CHH	0.18181818181818182
Chr1	183	-	CHH	0.17647058823529413
Chr1	186	-	CHH	0.17647058823529413
Chr1	188	-	CHH	0.16666666666666666
Chr1	190	-	CHH	0.16666666666666666
Chr1	214	-	CHH	0.11764705882352941
Chr1	219	+	CHH	0.07692307692307693
Chr1	229	+	CHH	0.07692307692307693
Chr1	230	+	CHH	0.11538461538461539
Chr1	236	+	CHH	0.11538461538461539
Chr1	255	+	CHH	0.12
Chr1	293	-	CHH	0.125
Chr1	298	+	CHH	0.11538461538461539
Chr1	307	+	CHH	0.11538461538461539
Chr1	314	+	CHH	0.20833333333333334
Chr1	317	+	CHH	0.09523809523809523
Chr1	330	-	CHH	0.11764705882352941
Chr1	332	-	CHH	0.13333333333333333
Chr1	448	+	CHH	0.11764705882352941
Chr1	480	-	CHH	0.6666666666666666
Chr1	615	-	CHH	0.13636363636363635
Chr1	618	-	CHH	0.08695652173913043
Chr1	657	+	CHH	0.2
Chr1	671	-	CHH	0.2857142857142857
Chr1	674	-	CHH	0.09523809523809523
Chr1	685	-	CHH	0.10526315789473684
Chr1	707	-	CHH	0.2
Chr1	727	-	CHH	0.25
Chr1	730	-	CHH	0.125
Chr1	763	-	CHH	0.35714285714285715
Chr1	765	-	CHH	0.15384615384615385
Chr1	767	-	CHH	0.18181818181818182
Chr1	772	-	CHH	0.18181818181818182
Chr1	773	-	CHH	0.18181818181818182
Chr1	780	+	CHH	0.5
Chr1	783	-	CHH	0.2727272727272727
Chr1	785	+	CHH	0.42857142857142855
Chr1	788	+	CHH	0.375
Chr1	798	+	CHH	0.4
Chr1	802	-	CHH	0.25
Chr1	805	+	CHH	0.2
Chr1	837	-	CHH	0.1875
Chr1	843	-	CHH	0.13333333333333333
Chr1	850	-	CHH	0.13333333333333333
Chr1	851	-	CHH	0.13333333333333333
Chr1	862	-	CHH	0.125
Chr1	3186	+	CHH	0.08695652173913043
Chr1	3290	+	CHH	0.06896551724137931
Chr1	5274	+	CHH	0.1111111111111111
Chr1	5802	+	CHH	0.07407407407407407
Chr1	6124	-	CHH	0.15384615384615385
Chr1	7309	+	CHH	0.09090909090909091
Chr1	9066	-	CHH	0.08695652173913043
Chr1	13053	-	CHH	0.16666666666666666
Chr1	15146	-	CHH	0.10526315789473684
Chr1	17012	+	CHH	0.23809523809523808
Chr1	17015	+	CHH	0.391304347826087
Chr1	17027	-	CHH	0.3
Chr1	17028	-	CHH	0.3
Chr1	17034	+	CHH	0.375
Chr1	17048	+	CHH	0.375
Chr1	17049	+	CHH	0.5
Chr1	17059	-	CHH	0.2857142857142857
Chr1	17063	-	CHH	0.2857142857142857
Chr1	17070	+	CHH	0.4
Chr1	17074	-	CHH	0.2857142857142857
Chr1	17075	-	CHH	0.2857142857142857
Chr1	17079	-	CHH	0.2857142857142857
Chr1	17080	+	CHH	0.3333333333333333
Chr1	17081	+	CHH	0.3888888888888889
Chr1	17086	-	CHH	0.2857142857142857
Chr1	17102	-	CHH	0.3333333333333333
Chr1	17115	+	CHH	0.2
Chr1	17120	+	CHH	0.2
Chr1	17202	-	CHH	0.07894736842105263
Chr1	17268	+	CHH	0.05714285714285714
Chr1	17279	-	CHH	0.03389830508474576
Chr1	17283	-	CHH	0.034482758620689655
Chr1	17295	-	CHH	0.07692307692307693
Chr1	17306	-	CHH	0.045454545454545456
Chr1	17389	+	CHH	0.4
Chr1	17589	-	CHH	0.11538461538461539
Chr1	17614	-	CHH	0.20689655172413793
Chr1	17617	+	CHH	0.2222222222222222
Chr1	17622	+	CHH	0.2222222222222222
Chr1	17625	-	CHH	0.22580645161290322
Chr1	17643	-	CHH	0.10714285714285714
Chr1	17653	-	CHH	0.18518518518518517
Chr1	17676	-	CHH	0.13043478260869565
Chr1	17683	-	CHH	0.09090909090909091
Chr1	17689	-	CHH	0.2727272727272727
Chr1	17693	-	CHH	0.09090909090909091
Chr1	17747	+	CHH	0.3333333333333333
Chr1	17750	+	CHH	0.5555555555555556
Chr1	17763	+	CHH	0.25
Chr1	17796	+	CHH	0.18181818181818182
Chr1	17811	-	CHH	0.125
Chr1	17822	+	CHH	0.16666666666666666
Chr1	17825	+	CHH	0.15384615384615385
Chr1	17835	-	CHH	0.10526315789473684
Chr1	17843	+	CHH	0.15384615384615385
Chr1	17854	+	CHH	0.2857142857142857
Chr1	17857	-	CHH	0.08
Chr1	17860	-	CHH	0.08
Chr1	17861	-	CHH	0.08
Chr1	17865	+	CHH	0.26666666666666666
Chr1	17868	+	CHH	0.21428571428571427
Chr1	17871	-	CHH	0.11538461538461539
Chr1	17873	-	CHH	0.12
Chr1	17879	+	CHH	0.4166666666666667
Chr1	17889	+	CHH	0.2727272727272727
Chr1	17903	-	CHH	0.09523809523809523
Chr1	17920	+	CHH	0.25
Chr1	18028	-	CHH	0.2857142857142857
Chr1	18035	-	CHH	0.42857142857142855
Chr1	18052	-	CHH	0.2222222222222222
Chr1	18091	-	CHH	0.2222222222222222
Chr1	18166	-	CHH	0.8
Chr1	18464	-	CHH	0.4
Chr1	18473	-	CHH	0.4
Chr1	18526	-	CHH	0.2857142857142857
Chr1	18530	-	CHH	0.42857142857142855
Chr1	18533	-	CHH	0.375
Chr1	18537	-	CHH	0.4444444444444444
Chr1	18539	-	CHH	0.3333333333333333
Chr1	18543	+	CHH	0.25
Chr1	18612	+	CHH	0.13333333333333333
Chr1	18623	+	CHH	0.2222222222222222
Chr1	18632	+	CHH	0.10526315789473684
Chr1	18643	-	CHH	0.23076923076923078
Chr1	18645	+	CHH	0.25
Chr1	18658	+	CHH	0.09090909090909091
Chr1	18663	+	CHH	0.09090909090909091
Chr1	18667	-	CHH	0.3076923076923077
Chr1	18672	+	CHH	0.22727272727272727
Chr1	18686	+	CHH	0.4166666666666667
Chr1	18698	-	CHH	0.3333333333333333
Chr1	18699	+	CHH	0.3181818181818182
Chr1	18704	-	CHH	0.4166666666666667
Chr1	18707	-	CHH	0.4166666666666667
Chr1	18712	-	CHH	0.3333333333333333
Chr1	18713	+	CHH	0.21739130434782608
Chr1	18723	-	CHH	0.21428571428571427
Chr1	18726	+	CHH	0.22727272727272727
Chr1	18729	-	CHH	0.2
Chr1	18732	-	CHH	0.375
Chr1	18733	-	CHH	0.1875
Chr1	18742	-	CHH	0.25
Chr1	18752	+	CHH	0.13636363636363635
Chr1	18767	-	CHH	0.10526315789473684
Chr1	18829	-	CHH	0.08
Chr1	18862	+	CHH	0.10714285714285714
Chr1	18971	+	CHH	0.1875
Chr1	18986	+	CHH	0.3333333333333333
Chr1	22025	-	CHH	0.08695652173913043
Chr1	22040	-	CHH	0.09523809523809523
Chr1	23780	-	CHH	0.25
Chr1	27659	-	CHH	0.14285714285714285
Chr1	27669	-	CHH	0.14285714285714285
Chr1	28915	-	CHH	0.15384615384615385
Chr1	34915	+	CHH	0.2222222222222222
Chr1	35643	-	CHH	0.1111111111111111
Chr1	36673	-	CHH	0.2222222222222222
Chr1	41309	-	CHH	0.07142857142857142
Chr1	41739	-	CHH	0.08
Chr1	41925	-	CHH	0.10526315789473684
Chr1	42283	+	CHH	0.11764705882352941
Chr1	42294	+	CHH	0.29411764705882354
Chr1	42298	-	CHH	0.25
Chr1	42300	+	CHH	0.29411764705882354
Chr1	42301	+	CHH	0.29411764705882354
Chr1	42304	+	CHH	0.375
Chr1	42310	+	CHH	0.2777777777777778
Chr1	42314	-	CHH	0.25
Chr1	42315	-	CHH	0.25
Chr1	42317	+	CHH	0.25
Chr1	42319	+	CHH	0.25
Chr1	42323	+	CHH	0.26666666666666666
Chr1	42326	-	CHH	0.375
Chr1	42329	-	CHH	0.375
Chr1	42332	+	CHH	0.23076923076923078
Chr1	42337	+	CHH	0.21428571428571427
Chr1	42344	-	CHH	0.2857142857142857
Chr1	42353	+	CHH	0.14285714285714285
Chr1	42359	-	CHH	0.2857142857142857
Chr1	42371	-	CHH	0.2
Chr1	42377	+	CHH	0.3125
Chr1	42379	+	CHH	0.21428571428571427
Chr1	42383	+	CHH	0.26666666666666666
Chr1	42495	+	CHH	0.25
Chr1	42500	-	CHH	0.10526315789473684
Chr1	42506	-	CHH	0.09523809523809523
Chr1	42511	+	CHH	0.18518518518518517
Chr1	42514	+	CHH	0.2222222222222222
Chr1	42515	+	CHH	0.2222222222222222
Chr1	42520	-	CHH	0.08695652173913043
Chr1	42526	-	CHH	0.13043478260869565
Chr1	42529	-	CHH	0.08
Chr1	42530	+	CHH	0.14814814814814814
Chr1	42532	+	CHH	0.15384615384615385
Chr1	42536	-	CHH	0.125
Chr1	42539	-	CHH	0.125
Chr1	42541	+	CHH	0.14285714285714285
Chr1	42607	+	CHH	0.08
Chr1	42626	-	CHH	0.10344827586206896
Chr1	44536	+	CHH	0.13333333333333333
Chr1	44633	+	CHH	0.23076923076923078
Chr1	44635	+	CHH	0.3333333333333333
Chr1	44641	+	CHH	0.2727272727272727
Chr1	44667	+	CHH	0.13333333333333333
Chr1	44673	-	CHH	0.2
Chr1	44679	-	CHH	0.2
Chr1	44680	+	CHH	0.21428571428571427
Chr1	44694	+	CHH	0.25
Chr1	44695	+	CHH	0.2727272727272727
Chr1	44696	+	CHH	0.5
Chr1	44707	-	CHH	0.2222222222222222
Chr1	44709	-	CHH	0.5
Chr1	44713	+	CHH	0.7
Chr1	44720	+	CHH	0.8888888888888888
Chr1	44730	-	CHH	0.75
Chr1	44731	-	CHH	0.875
Chr1	44732	+	CHH	0.875
Chr1	44735	+	CHH	0.875
Chr1	44744	-	CHH	0.8888888888888888
Chr1	44745	-	CHH	0.8888888888888888
Chr1	44749	+	CHH	0.7142857142857143
Chr1	44754	-	CHH	0.6
Chr1	44756	+	CHH	0.75
Chr1	44761	-	CHH	0.6666666666666666
Chr1	44762	+	CHH	0.2857142857142857
Chr1	44819	+	CHH	0.25
Chr1	44822	-	CHH	0.21428571428571427
Chr1	44825	-	CHH	0.1875
Chr1	44833	-	CHH	0.17647058823529413
Chr1	44835	-	CHH	0.16666666666666666
Chr1	44837	-	CHH	0.16666666666666666
Chr1	44841	+	CHH	0.125
Chr1	44843	+	CHH	0.125
Chr1	44844	+	CHH	0.13333333333333333
Chr1	44848	-	CHH	0.16666666666666666
Chr1	44854	-	CHH	0.16666666666666666
Chr1	44857	+	CHH	0.26666666666666666
Chr1	44862	-	CHH	0.15789473684210525
Chr1	49265	+	CHH	0.125
Chr1	49653	-	CHH	0.07692307692307693
Chr1	51306	+	CHH	0.2857142857142857
Chr1	51883	-	CHH	0.1
Chr1	52241	-	CHH	0.2
Chr1	55248	+	CHH	0.14285714285714285
Chr1	55684	+	CHH	0.2727272727272727
Chr1	55701	+	CHH	0.5555555555555556
Chr1	55703	+	CHH	0.2222222222222222
Chr1	55708	-	CHH	0.6
Chr1	55709	-	CHH	0.6
Chr1	55712	+	CHH	0.5714285714285714
Chr1	55713	+	CHH	0.42857142857142855
Chr1	55714	+	CHH	0.42857142857142855
Chr1	55719	+	CHH	0.3333333333333333
Chr1	55720	+	CHH	0.5
Chr1	55721	+	CHH	0.5
Chr1	55723	+	CHH	0.5
Chr1	55738	+	CHH	0.4
Chr1	55739	+	CHH	0.4
Chr1	55746	+	CHH	0.2
Chr1	55826	-	CHH	0.4
Chr1	55833	-	CHH	0.3333333333333333
Chr1	55887	-	CHH	0.5
Chr1	55948	-	CHH	0.3333333333333333
Chr1	56097	+	CHH	0.6
Chr1	56124	+	CHH	0.5555555555555556
Chr1	56151	+	CHH	0.6666666666666666
Chr1	56164	+	CHH	0.5555555555555556
Chr1	56205	+	CHH	0.5
Chr1	56243	+	CHH	0.2857142857142857
Chr1	56251	+	CHH	0.3333333333333333
Chr1	56257	+	CHH	0.4
Chr1	56355	+	CHH	0.42857142857142855
Chr1	56358	+	CHH	0.2857142857142857
Chr1	56362	+	CHH	0.42857142857142855
Chr1	56371	-	CHH	0.3333333333333333
Chr1	56394	+	CHH	0.5
Chr1	56396	+	CHH	0.375
Chr1	56415	+	CHH	0.5
Chr1	56426	+	CHH	0.375
Chr1	56427	+	CHH	0.375
Chr1	56428	+	CHH	0.625
Chr1	56438	+	CHH	0.625
Chr1	56468	+	CHH	0.5
Chr1	56469	+	CHH	0.5
Chr1	56470	+	CHH	0.6666666666666666
Chr1	56472	+	CHH	0.5
Chr1	56478	+	CHH	0.6
Chr1	56486	+	CHH	0.6
Chr1	56492	-	CHH	0.375
Chr1	56503	-	CHH	0.42857142857142855
Chr1	56506	-	CHH	0.42857142857142855
Chr1	56507	-	CHH	0.5714285714285714
Chr1	56514	-	CHH	0.42857142857142855
Chr1	56515	-	CHH	0.5714285714285714
Chr1	56517	-	CHH	0.5
Chr1	56518	-	CHH	0.42857142857142855
Chr1	56523	-	CHH	0.5
Chr1	56532	-	CHH	0.5
Chr1	56533	-	CHH	0.5555555555555556
Chr1	56534	-	CHH	0.4444444444444444
Chr1	56545	-	CHH	0.25
Chr1	56551	+	CHH	0.3333333333333333
Chr1	56852	-	CHH	0.10526315789473684
Chr1	59558	+	CHH	0.1
Chr1	61773	-	CHH	0.0967741935483871
Chr1	61812	-	CHH	0.07407407407407407
Chr1	61863	-	CHH	0.13636363636363635
Chr1	61921	+	CHH	0.15384615384615385
Chr1	64826	+	CHH	0.125
Chr1	67057	+	CHH	0.15384615384615385
Chr1	69450	+	CHH	0.25
Chr1	73101	+	CHH	0.2222222222222222
Chr1	76828	-	CHH	0.18181818181818182
Chr1	76843	+	CHH	0.13333333333333333
Chr1	76845	+	CHH	0.13333333333333333
Chr1	76856	-	CHH	0.16666666666666666
Chr1	76861	-	CHH	0.14285714285714285
Chr1	76875	+	CHH	0.2
Chr1	76876	+	CHH	0.3333333333333333
Chr1	76880	+	CHH	0.26666666666666666
Chr1	76888	+	CHH	0.125
Chr1	76895	+	CHH	0.375
Chr1	76904	-	CHH	0.4166666666666667
Chr1	76990	+	CHH	0.3333333333333333
Chr1	77080	+	CHH	0.375
Chr1	77205	+	CHH	0.2222222222222222
Chr1	77233	+	CHH	0.3333333333333333
Chr1	77238	+	CHH	0.25
Chr1	77336	+	CHH	0.2
Chr1	77345	-	CHH	0.5
Chr1	77346	+	CHH	0.25
Chr1	77350	-	CHH	0.3333333333333333
Chr1	77352	-	CHH	0.3333333333333333
Chr1	77358	+	CHH	0.15384615384615385
Chr1	77362	-	CHH	0.4
Chr1	77363	-	CHH	0.5
Chr1	77365	-	CHH	0.5
Chr1	77366	-	CHH	0.5
Chr1	77374	+	CHH	0.25
Chr1	77375	+	CHH	0.46153846153846156
Chr1	77384	-	CHH	0.42857142857142855
Chr1	77387	-	CHH	0.5714285714285714
