#proteinId	gotermId	goName	gotermType	goAcc
2	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
2	4639	proteolysis	biological_process	GO:0006508
3	2175	nucleic acid binding	molecular_function	GO:0003676
3	9985	hydrolase activity	molecular_function	GO:0016787
6	2443	acyl-CoA dehydrogenase activity	molecular_function	GO:0003995
6	4283	electron transport	biological_process	GO:0006118
6	9834	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	GO:0016627
6	5830	metabolic process	biological_process	GO:0008152
7	5830	metabolic process	biological_process	GO:0008152
7	9710	oxidoreductase activity	molecular_function	GO:0016491
7	2290	catalytic activity	molecular_function	GO:0003824
7	3708	binding	molecular_function	GO:0005488
9	9321	integral to membrane	cellular_component	GO:0016021
9	9480	vesicle-mediated transport	biological_process	GO:0016192
9	4927	transport	biological_process	GO:0006810
11	2175	nucleic acid binding	molecular_function	GO:0003676
11	5939	zinc ion binding	molecular_function	GO:0008270
11	2917	exonuclease activity	molecular_function	GO:0004527
11	3827	intracellular	cellular_component	GO:0005622
12	19375	cellular metabolic process	biological_process	GO:0044237
14	2196	transcription factor activity	molecular_function	GO:0003700
14	3838	nucleus	cellular_component	GO:0005634
14	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
14	19030	sequence-specific DNA binding	molecular_function	GO:0043565
16	6099	inositol trisphosphate 3-kinase activity	molecular_function	GO:0008440
21	3727	protein binding	molecular_function	GO:0005515
21	3736	ATP binding	molecular_function	GO:0005524
21	8400	protein transport	biological_process	GO:0015031
21	10082	ATPase activity	molecular_function	GO:0016887
22	21330	intracellular transport	biological_process	GO:0046907
23	4927	transport	biological_process	GO:0006810
23	9321	integral to membrane	cellular_component	GO:0016021
24	2244	microtubule motor activity	molecular_function	GO:0003777
24	3736	ATP binding	molecular_function	GO:0005524
24	4051	microtubule associated complex	cellular_component	GO:0005875
24	5113	microtubule-based movement	biological_process	GO:0007018
25	10007	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	molecular_function	GO:0016812
25	2589	dihydroorotase activity	molecular_function	GO:0004151
25	12103	pyrimidine base biosynthetic process	biological_process	GO:0019856
25	2290	catalytic activity	molecular_function	GO:0003824
25	5830	metabolic process	biological_process	GO:0008152
26	4283	electron transport	biological_process	GO:0006118
26	9710	oxidoreductase activity	molecular_function	GO:0016491
27	2175	nucleic acid binding	molecular_function	GO:0003676
27	3827	intracellular	cellular_component	GO:0005622
27	5939	zinc ion binding	molecular_function	GO:0008270
35	2196	transcription factor activity	molecular_function	GO:0003700
35	3838	nucleus	cellular_component	GO:0005634
35	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
35	19030	sequence-specific DNA binding	molecular_function	GO:0043565
38	3737	GTP binding	molecular_function	GO:0005525
38	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
38	3827	intracellular	cellular_component	GO:0005622
38	4994	intracellular protein transport	biological_process	GO:0006886
40	5830	metabolic process	biological_process	GO:0008152
40	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
43	5830	metabolic process	biological_process	GO:0008152
43	9940	transferase activity	molecular_function	GO:0016740
43	6667	biosynthetic process	biological_process	GO:0009058
43	9967	transferase activity, transferring nitrogenous groups	molecular_function	GO:0016769
43	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
43	2336	5-aminolevulinate synthase activity	molecular_function	GO:0003870
43	15848	tetrapyrrole biosynthetic process	biological_process	GO:0033014
52	5830	metabolic process	biological_process	GO:0008152
52	9710	oxidoreductase activity	molecular_function	GO:0016491
52	2290	catalytic activity	molecular_function	GO:0003824
52	3708	binding	molecular_function	GO:0005488
53	2196	transcription factor activity	molecular_function	GO:0003700
53	3838	nucleus	cellular_component	GO:0005634
53	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
53	5939	zinc ion binding	molecular_function	GO:0008270
56	2176	DNA binding	molecular_function	GO:0003677
57	2176	DNA binding	molecular_function	GO:0003677
58	6182	riboflavin kinase activity	molecular_function	GO:0008531
58	6836	riboflavin biosynthetic process	biological_process	GO:0009231
