chr	pos	str	con	per_site_wei
Chr1	109	+	CG	1.0
Chr1	110	-	CG	1.0
Chr1	115	+	CG	1.0
Chr1	116	-	CG	0.9
Chr1	161	+	CG	0.9166666666666666
Chr1	162	-	CG	0.8
Chr1	310	+	CG	0.8
Chr1	311	-	CG	0.7692307692307693
Chr1	500	+	CG	0.6666666666666666
Chr1	501	-	CG	0.9
Chr1	511	+	CG	0.7333333333333333
Chr1	512	-	CG	1.0
Chr1	642	+	CG	1.0
Chr1	643	-	CG	0.8888888888888888
Chr1	647	+	CG	1.0
Chr1	648	-	CG	0.875
Chr1	650	+	CG	1.0
Chr1	651	-	CG	0.875
Chr1	790	+	CG	1.0
Chr1	791	-	CG	0.9333333333333333
Chr1	809	+	CG	1.0
Chr1	810	-	CG	1.0
Chr1	840	-	CG	1.0
Chr1	904	+	CG	0.9
Chr1	905	-	CG	1.0
Chr1	911	+	CG	0.9
Chr1	912	-	CG	0.8461538461538461
Chr1	948	+	CG	0.9285714285714286
Chr1	949	-	CG	1.0
Chr1	1324	+	CG	0.4666666666666667
Chr1	1325	-	CG	0.6666666666666666
Chr1	17175	+	CG	0.25
Chr1	17573	-	CG	1.0
Chr1	17602	+	CG	0.5
Chr1	17640	+	CG	1.0
Chr1	17641	-	CG	1.0
Chr1	17832	+	CG	1.0
Chr1	17833	-	CG	0.8
Chr1	17959	+	CG	0.6
Chr1	18106	-	CG	1.0
Chr1	18359	-	CG	1.0
Chr1	18365	-	CG	1.0
Chr1	18376	-	CG	1.0
Chr1	18379	+	CG	0.8
Chr1	18436	+	CG	1.0
Chr1	18441	+	CG	0.8888888888888888
Chr1	18446	+	CG	1.0
Chr1	18448	+	CG	0.9
Chr1	18516	+	CG	0.8181818181818182
Chr1	18517	-	CG	0.6
Chr1	18540	+	CG	0.7272727272727273
Chr1	18541	-	CG	0.8333333333333334
Chr1	18701	+	CG	1.0
Chr1	18702	-	CG	0.9
Chr1	18715	+	CG	1.0
Chr1	18716	-	CG	0.9090909090909091
Chr1	18755	+	CG	0.8181818181818182
Chr1	18756	-	CG	0.9411764705882353
Chr1	40792	-	CG	0.2
Chr1	42546	+	CG	0.9411764705882353
Chr1	42547	-	CG	0.6
Chr1	44727	+	CG	0.7142857142857143
Chr1	55921	-	CG	1.0
Chr1	55923	-	CG	1.0
Chr1	55939	-	CG	1.0
Chr1	55999	-	CG	0.6
Chr1	56076	+	CG	0.8571428571428571
Chr1	56094	+	CG	1.0
Chr1	56121	+	CG	0.9
Chr1	56148	+	CG	0.875
Chr1	56157	+	CG	0.8571428571428571
Chr1	56202	+	CG	1.0
Chr1	56212	+	CG	0.9
Chr1	56241	+	CG	0.7142857142857143
Chr1	56259	+	CG	1.0
Chr1	56268	+	CG	0.8888888888888888
Chr1	56405	+	CG	1.0
Chr1	56440	+	CG	1.0
Chr1	56459	+	CG	1.0
Chr1	56520	+	CG	0.6
Chr1	56521	-	CG	0.8333333333333334
Chr1	56542	+	CG	0.4
Chr1	56543	-	CG	0.6666666666666666
Chr1	69661	+	CG	0.3333333333333333
Chr1	69668	-	CG	0.5454545454545454
Chr1	70789	+	CG	0.5555555555555556
Chr1	70790	-	CG	0.5454545454545454
Chr1	76839	+	CG	0.9090909090909091
Chr1	76840	-	CG	0.42857142857142855
Chr1	76857	+	CG	0.8571428571428571
Chr1	76858	-	CG	0.6363636363636364
Chr1	76944	+	CG	0.875
Chr1	76945	-	CG	0.8888888888888888
Chr1	77037	+	CG	0.6666666666666666
Chr1	77039	+	CG	0.6666666666666666
Chr1	77060	+	CG	0.42857142857142855
Chr1	77221	+	CG	0.9090909090909091
Chr1	77222	-	CG	0.8571428571428571
Chr1	77223	+	CG	0.9090909090909091
Chr1	77224	-	CG	1.0
Chr1	77230	+	CG	0.9166666666666666
Chr1	77231	-	CG	0.875
Chr1	77242	+	CG	0.8461538461538461
Chr1	77243	-	CG	0.875
Chr1	77353	+	CG	0.8333333333333334
Chr1	77354	-	CG	1.0
Chr1	77369	+	CG	1.0
Chr1	77370	-	CG	1.0
Chr1	77372	+	CG	1.0
Chr1	77373	-	CG	1.0
Chr1	77379	+	CG	1.0
Chr1	77380	-	CG	1.0
Chr1	77392	+	CG	0.9285714285714286
Chr1	77393	-	CG	1.0
Chr1	78489	+	CG	0.2
Chr1	154099	+	CG	0.25
Chr1	154100	-	CG	0.7142857142857143
Chr1	154109	+	CG	0.9
Chr1	154110	-	CG	0.8571428571428571
Chr1	154111	+	CG	0.2
Chr1	154112	-	CG	0.42857142857142855
Chr1	154120	+	CG	0.16666666666666666
Chr1	154121	-	CG	0.3333333333333333
Chr1	160246	+	CG	1.0
Chr1	160247	-	CG	0.8333333333333334
Chr1	160260	+	CG	0.7142857142857143
Chr1	160261	-	CG	0.8461538461538461
Chr1	160270	+	CG	0.7142857142857143
Chr1	160271	-	CG	1.0
Chr1	165626	-	CG	0.2
Chr1	193382	+	CG	0.75
Chr1	193394	+	CG	1.0
Chr1	193395	-	CG	0.8
Chr1	193433	+	CG	0.8181818181818182
Chr1	193495	+	CG	1.0
Chr1	193496	-	CG	1.0
Chr1	193509	+	CG	1.0
Chr1	193510	-	CG	1.0
Chr1	193516	+	CG	1.0
Chr1	193517	-	CG	0.8571428571428571
Chr1	193525	+	CG	0.875
Chr1	193526	-	CG	1.0
Chr1	193527	+	CG	0.8888888888888888
Chr1	193528	-	CG	1.0
Chr1	193588	+	CG	1.0
Chr1	193589	-	CG	0.875
Chr1	193608	+	CG	0.7142857142857143
Chr1	193609	-	CG	0.6666666666666666
Chr1	193640	+	CG	0.3333333333333333
Chr1	193641	-	CG	0.375
Chr1	193657	+	CG	0.8333333333333334
Chr1	193658	-	CG	0.4444444444444444
Chr1	193666	+	CG	0.42857142857142855
Chr1	193667	-	CG	0.25
Chr1	193694	+	CG	0.2857142857142857
Chr1	193695	-	CG	0.2857142857142857
Chr1	201505	+	CG	0.3333333333333333
Chr1	256182	-	CG	0.9090909090909091
Chr1	256215	-	CG	1.0
Chr1	256581	+	CG	0.8333333333333334
Chr1	256582	-	CG	0.8
Chr1	256618	+	CG	1.0
Chr1	256619	-	CG	0.7272727272727273
Chr1	256696	+	CG	0.11764705882352941
Chr1	257868	+	CG	1.0
Chr1	257869	-	CG	1.0
Chr1	257886	+	CG	1.0
Chr1	257887	-	CG	1.0
Chr1	258059	-	CG	1.0
Chr1	258106	-	CG	1.0
Chr1	258477	+	CG	1.0
Chr1	258670	-	CG	1.0
Chr1	289361	-	CG	0.9230769230769231
Chr1	289375	-	CG	0.23076923076923078
Chr1	289378	-	CG	0.23076923076923078
Chr1	289674	+	CG	1.0
Chr1	289675	-	CG	0.8181818181818182
Chr1	291853	+	CG	0.15384615384615385
Chr1	291854	-	CG	0.23076923076923078
Chr1	291927	+	CG	1.0
Chr1	291928	-	CG	0.8333333333333334
Chr1	291937	+	CG	1.0
Chr1	291938	-	CG	1.0
Chr1	291950	+	CG	1.0
Chr1	291951	-	CG	1.0
Chr1	291969	+	CG	0.7142857142857143
Chr1	291970	-	CG	1.0
Chr1	291999	+	CG	1.0
Chr1	292094	-	CG	1.0
Chr1	292102	-	CG	0.8333333333333334
Chr1	292391	-	CG	1.0
Chr1	292406	-	CG	1.0
Chr1	292409	-	CG	1.0
Chr1	292436	-	CG	1.0
Chr1	292442	-	CG	1.0
Chr1	292461	-	CG	0.8333333333333334
Chr1	292476	-	CG	1.0
Chr1	292480	+	CG	0.8
Chr1	292481	-	CG	1.0
Chr1	292492	+	CG	0.8571428571428571
Chr1	292493	-	CG	0.8333333333333334
Chr1	292576	+	CG	0.8
Chr1	292582	+	CG	0.6363636363636364
Chr1	292672	-	CG	0.6
Chr1	308026	-	CG	0.6
Chr1	308037	+	CG	0.8
Chr1	308038	-	CG	1.0
Chr1	314698	-	CG	0.8
Chr1	336761	-	CG	0.42857142857142855
Chr1	372538	+	CG	0.5
Chr1	372539	-	CG	0.6363636363636364
Chr1	372558	+	CG	0.9
Chr1	372559	-	CG	0.9
Chr1	375597	-	CG	0.8888888888888888
Chr1	412840	-	CG	0.46153846153846156
Chr1	417508	+	CG	0.25
Chr1	417509	-	CG	0.42857142857142855
Chr1	422777	+	CG	0.25
Chr1	422778	-	CG	0.2
Chr1	422897	+	CG	0.6923076923076923
Chr1	422898	-	CG	0.8333333333333334
Chr1	422986	-	CG	0.6428571428571429
Chr1	423109	+	CG	0.9
Chr1	423110	-	CG	0.8571428571428571
Chr1	423121	+	CG	1.0
Chr1	423122	-	CG	1.0
Chr1	423146	+	CG	1.0
Chr1	423147	-	CG	1.0
Chr1	423162	+	CG	1.0
Chr1	423163	-	CG	1.0
Chr1	423300	+	CG	1.0
Chr1	423312	+	CG	1.0
Chr1	423323	+	CG	1.0
Chr1	423337	+	CG	0.8333333333333334
Chr1	423338	-	CG	1.0
Chr1	423353	+	CG	0.8
Chr1	423354	-	CG	0.8
Chr1	423489	+	CG	0.9166666666666666
Chr1	423490	-	CG	1.0
Chr1	423501	+	CG	0.8
Chr1	423502	-	CG	1.0
Chr1	423512	+	CG	0.6666666666666666
Chr1	423513	-	CG	0.875
Chr1	423526	+	CG	1.0
Chr1	423527	-	CG	1.0
Chr1	423668	+	CG	1.0
Chr1	423669	-	CG	0.875
Chr1	423691	+	CG	1.0
Chr1	423692	-	CG	0.875
Chr1	423705	+	CG	1.0
Chr1	423706	-	CG	0.75
Chr1	423721	+	CG	0.6666666666666666
Chr1	423722	-	CG	1.0
Chr1	423784	+	CG	0.8
Chr1	423876	+	CG	0.8333333333333334
Chr1	423888	+	CG	0.8571428571428571
Chr1	423899	+	CG	0.8333333333333334
Chr1	423913	+	CG	1.0
Chr1	424301	+	CG	1.0
Chr1	424302	-	CG	0.875
Chr1	424315	+	CG	1.0
Chr1	424316	-	CG	0.875
Chr1	424331	+	CG	0.8
Chr1	424332	-	CG	0.375
Chr1	431331	+	CG	0.8571428571428571
Chr1	431332	-	CG	1.0
Chr1	431367	+	CG	1.0
Chr1	431368	-	CG	1.0
Chr1	431429	-	CG	0.8571428571428571
Chr1	431502	+	CG	1.0
Chr1	431503	-	CG	0.75
Chr1	431510	+	CG	1.0
Chr1	431511	-	CG	0.875
Chr1	431519	+	CG	1.0
Chr1	431520	-	CG	0.8571428571428571
Chr1	431527	+	CG	0.875
Chr1	431528	-	CG	0.7142857142857143
Chr1	431553	+	CG	0.8181818181818182
Chr1	431554	-	CG	0.6666666666666666
Chr1	431555	+	CG	1.0
Chr1	431556	-	CG	0.8333333333333334
Chr1	431572	+	CG	1.0
Chr1	431573	-	CG	0.8333333333333334
Chr1	431594	+	CG	0.875
Chr1	431595	-	CG	0.8
Chr1	431597	+	CG	1.0
Chr1	431605	+	CG	0.8333333333333334
Chr1	431615	+	CG	1.0
Chr1	431623	+	CG	1.0
Chr1	431632	+	CG	1.0
Chr1	431640	+	CG	1.0
Chr1	431660	+	CG	0.8
Chr1	431679	+	CG	0.8
Chr1	431750	-	CG	0.8
Chr1	431759	-	CG	0.8333333333333334
Chr1	431767	-	CG	0.8333333333333334
Chr1	431793	+	CG	0.6
Chr1	431794	-	CG	1.0
Chr1	431802	+	CG	1.0
Chr1	431803	-	CG	1.0
Chr1	431841	+	CG	0.8333333333333334
Chr1	431842	-	CG	1.0
Chr1	431849	+	CG	0.8571428571428571
Chr1	431850	-	CG	0.8571428571428571
Chr1	431974	+	CG	1.0
Chr1	431975	-	CG	1.0
Chr1	431996	+	CG	0.8333333333333334
Chr1	431997	-	CG	1.0
Chr1	432030	+	CG	0.75
Chr1	432031	-	CG	1.0
Chr1	432036	+	CG	0.6666666666666666
Chr1	432037	-	CG	0.6
Chr1	432054	+	CG	0.875
Chr1	432055	-	CG	0.4
Chr1	432088	+	CG	1.0
Chr1	432097	+	CG	1.0
Chr1	432104	+	CG	1.0
Chr1	432312	+	CG	1.0
Chr1	432329	+	CG	0.8888888888888888
