Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene_1	jgi.p|Botci1|1	Supercontig_1.1	-	2312	3385	0.391227	0.291662	0.315306
gene_2	jgi.p|Botci1|2	Supercontig_1.1	+	4181	6006	3.501899	2.610687	2.822325
gene_3	jgi.p|Botci1|3	Supercontig_1.1	+	6330	7741	11.168264	8.326008	9.000965
gene_4	jgi.p|Botci1|4	Supercontig_1.1	-	10016	12049	102.124763	76.134621	82.306557
gene_8	jgi.p|Botci1|8	Supercontig_1.1	-	18030	19651	5.236459	3.903811	4.220278
gene_5	jgi.p|Botci1|5	Supercontig_1.1	-	14754	14861	210.833328	157.177505	169.919281
gene_6	jgi.p|Botci1|6	Supercontig_1.1	+	15248	15469	10.387387	7.743859	8.371624
gene_7	jgi.p|Botci1|7	Supercontig_1.1	+	15916	17130	354.299957	264.132751	285.544952
gene_9	jgi.p|Botci1|9	Supercontig_1.1	+	21637	23146	176.178406	131.342056	141.989441
gene_19	jgi.p|Botci1|19	Supercontig_1.1	-	36635	38315	15.090594	11.250129	12.162133
gene_20	jgi.p|Botci1|20	Supercontig_1.1	+	39296	41569	4.043536	3.014480	3.258853
gene_21	jgi.p|Botci1|21	Supercontig_1.1	-	42401	42996	1.435985	1.070535	1.157320
gene_24	jgi.p|Botci1|24	Supercontig_1.1	-	47006	47196	0.000000	0.000000	0.000000
gene_22	jgi.p|Botci1|22	Supercontig_1.1	-	45161	45820	6.032037	4.496920	4.861467
gene_10	jgi.p|Botci1|10	Supercontig_1.1	-	25105	26869	96.141792	71.674286	77.484634
gene_11	jgi.p|Botci1|11	Supercontig_1.1	-	27723	29647	147.286392	109.802887	118.704185
gene_12	jgi.p|Botci1|12	Supercontig_1.1	+	29978	30163	712.446167	531.132874	574.189758
gene_13	jgi.p|Botci1|13	Supercontig_1.1	+	30826	31149	153.006180	114.067024	123.313988
gene_14	jgi.p|Botci1|14	Supercontig_1.1	-	31667	32032	29.932808	22.315088	24.124084
gene_15	jgi.p|Botci1|15	Supercontig_1.1	+	32381	32515	36.496296	27.208206	29.413870
gene_16	jgi.p|Botci1|16	Supercontig_1.1	+	33099	33403	9.615034	7.168066	7.749153
gene_17	jgi.p|Botci1|17	Supercontig_1.1	+	34196	35459	85.878494	64.022934	69.213020
gene_18	jgi.p|Botci1|18	Supercontig_1.1	-	35542	36206	25.381479	18.922045	20.455982
gene_25	jgi.p|Botci1|25	Supercontig_1.1	-	48159	49115	227.184677	169.367538	183.097504
gene_26	jgi.p|Botci1|26	Supercontig_1.1	+	50711	51535	123.763313	92.266289	99.745956
gene_29	jgi.p|Botci1|29	Supercontig_1.1	+	56131	56289	21.796646	16.249531	17.566816
gene_27	jgi.p|Botci1|27	Supercontig_1.1	-	52455	53708	127.253197	94.868019	102.558601
gene_28	jgi.p|Botci1|28	Supercontig_1.1	-	54184	54826	9.155849	6.825740	7.379076
gene_30	jgi.p|Botci1|30	Supercontig_1.1	+	57965	60565	172.932755	128.922409	139.373642
gene_31	jgi.p|Botci1|31	Supercontig_1.1	-	61546	62440	49.414001	36.838432	39.824780
gene_32	jgi.p|Botci1|32	Supercontig_1.1	+	62755	64060	139.947495	104.331688	112.789452
gene_33	jgi.p|Botci1|33	Supercontig_1.1	-	64522	66009	32.604168	24.306602	26.277044
gene_34	jgi.p|Botci1|34	Supercontig_1.1	-	66820	70198	15.109301	11.264073	12.177209
gene_35	jgi.p|Botci1|35	Supercontig_1.1	+	70509	71161	533.081543	397.415497	429.632416
gene_36	jgi.p|Botci1|36	Supercontig_1.1	-	71511	72595	56.359978	42.016697	45.422825
gene_38	jgi.p|Botci1|38	Supercontig_1.1	-	77399	77716	10.129375	7.551510	8.163681
