chr	pos	str	con	per_site_wei
Chr1	86	+	CHH	0.4
Chr1	102	+	CHH	0.2857142857142857
Chr1	129	-	CHH	0.2
Chr1	139	-	CHH	0.2727272727272727
Chr1	141	-	CHH	0.18181818181818182
Chr1	150	-	CHH	0.2727272727272727
Chr1	170	-	CHH	0.2857142857142857
Chr1	177	+	CHH	0.1875
Chr1	186	-	CHH	0.25
Chr1	219	+	CHH	0.15384615384615385
Chr1	298	+	CHH	0.23076923076923078
Chr1	307	+	CHH	0.18181818181818182
Chr1	342	-	CHH	0.2
Chr1	351	-	CHH	0.35294117647058826
Chr1	412	-	CHH	0.16666666666666666
Chr1	429	-	CHH	0.13333333333333333
Chr1	441	-	CHH	0.13333333333333333
Chr1	448	+	CHH	0.375
Chr1	461	-	CHH	0.3076923076923077
Chr1	477	-	CHH	0.15384615384615385
Chr1	480	-	CHH	0.6666666666666666
Chr1	483	-	CHH	0.5454545454545454
Chr1	488	-	CHH	0.18181818181818182
Chr1	507	-	CHH	0.3
Chr1	516	-	CHH	0.2
Chr1	530	+	CHH	0.16666666666666666
Chr1	591	+	CHH	0.11764705882352941
Chr1	597	+	CHH	0.26666666666666666
Chr1	607	-	CHH	0.25
Chr1	671	-	CHH	0.2222222222222222
Chr1	677	+	CHH	0.25
Chr1	685	-	CHH	0.2222222222222222
Chr1	691	+	CHH	1.0
Chr1	727	-	CHH	0.16666666666666666
Chr1	754	+	CHH	0.2857142857142857
Chr1	763	-	CHH	0.3076923076923077
Chr1	788	+	CHH	0.2857142857142857
Chr1	798	+	CHH	0.42857142857142855
Chr1	907	+	CHH	0.2
Chr1	959	+	CHH	0.13333333333333333
Chr1	973	+	CHH	0.1875
Chr1	993	+	CHH	0.2777777777777778
Chr1	996	+	CHH	0.11764705882352941
Chr1	1001	-	CHH	0.2222222222222222
Chr1	1061	+	CHH	0.16666666666666666
Chr1	1312	+	CHH	0.14285714285714285
Chr1	1314	+	CHH	0.14285714285714285
Chr1	1315	+	CHH	0.14285714285714285
Chr1	1335	+	CHH	0.13333333333333333
Chr1	1337	+	CHH	0.14285714285714285
Chr1	1359	+	CHH	0.3
Chr1	3101	+	CHH	0.10526315789473684
Chr1	9990	-	CHH	0.1
Chr1	16989	+	CHH	0.15384615384615385
Chr1	17015	+	CHH	0.16666666666666666
Chr1	17027	-	CHH	0.25
Chr1	17028	-	CHH	0.25
Chr1	17034	+	CHH	0.3333333333333333
Chr1	17048	+	CHH	0.36363636363636365
Chr1	17049	+	CHH	0.36363636363636365
Chr1	17059	-	CHH	0.3
Chr1	17063	-	CHH	0.3
Chr1	17070	+	CHH	0.25
Chr1	17074	-	CHH	0.3
Chr1	17075	-	CHH	0.3333333333333333
Chr1	17079	-	CHH	0.3333333333333333
Chr1	17080	+	CHH	0.375
Chr1	17081	+	CHH	0.375
Chr1	17086	-	CHH	0.25
Chr1	17102	-	CHH	0.4
Chr1	17104	-	CHH	0.4
Chr1	17279	-	CHH	0.07407407407407407
Chr1	17295	-	CHH	0.2692307692307692
Chr1	17583	+	CHH	0.4
Chr1	17617	+	CHH	0.2857142857142857
Chr1	17622	+	CHH	0.25
Chr1	17645	+	CHH	0.18181818181818182
Chr1	17706	+	CHH	0.18181818181818182
Chr1	17750	+	CHH	0.25
Chr1	17879	+	CHH	0.25
Chr1	17943	+	CHH	0.4
Chr1	17954	+	CHH	0.6
Chr1	17957	+	CHH	0.4
Chr1	18035	-	CHH	0.5714285714285714
Chr1	18052	-	CHH	0.2857142857142857
Chr1	18070	-	CHH	0.42857142857142855
Chr1	18074	-	CHH	0.5714285714285714
Chr1	18091	-	CHH	0.7142857142857143
Chr1	18109	-	CHH	0.5714285714285714
Chr1	18110	-	CHH	0.5714285714285714
Chr1	18113	-	CHH	0.5714285714285714
Chr1	18302	-	CHH	0.4
Chr1	18333	-	CHH	0.4
Chr1	18409	+	CHH	0.3333333333333333
Chr1	18412	+	CHH	0.3333333333333333
Chr1	18413	+	CHH	0.3333333333333333
Chr1	18427	+	CHH	0.42857142857142855
Chr1	18451	+	CHH	0.3
Chr1	18490	+	CHH	0.18181818181818182
Chr1	18491	+	CHH	0.18181818181818182
Chr1	18492	+	CHH	0.6
Chr1	18501	+	CHH	0.36363636363636365
Chr1	18503	+	CHH	0.4166666666666667
Chr1	18512	-	CHH	0.6
Chr1	18537	-	CHH	0.5
Chr1	18539	-	CHH	0.3333333333333333
Chr1	18543	+	CHH	0.18181818181818182
Chr1	18545	+	CHH	0.18181818181818182
Chr1	18546	+	CHH	0.18181818181818182
Chr1	18550	+	CHH	0.18181818181818182
Chr1	18623	+	CHH	0.2
