chr	pos	str	con	per_site_wei
Chr1	108	+	CHG	0.625
Chr1	114	+	CHG	0.3333333333333333
Chr1	117	-	CHG	0.4
Chr1	123	+	CHG	0.9090909090909091
Chr1	125	-	CHG	0.9090909090909091
Chr1	562	+	CHG	0.125
Chr1	573	+	CHG	0.125
Chr1	575	-	CHG	0.25
Chr1	792	-	CHG	0.7
Chr1	795	+	CHG	0.7777777777777778
Chr1	797	-	CHG	0.7
Chr1	812	+	CHG	0.9
Chr1	814	-	CHG	0.7272727272727273
Chr1	856	+	CHG	0.5384615384615384
Chr1	858	-	CHG	0.6
Chr1	929	-	CHG	0.19047619047619047
Chr1	1196	+	CHG	0.14285714285714285
Chr1	2023	-	CHG	0.08
Chr1	6058	-	CHG	0.2727272727272727
Chr1	12887	-	CHG	0.16666666666666666
Chr1	17642	-	CHG	0.25
Chr1	17658	+	CHG	0.2
Chr1	17660	-	CHG	0.28
Chr1	17672	+	CHG	0.2857142857142857
Chr1	17674	-	CHG	0.6666666666666666
Chr1	17679	+	CHG	0.42857142857142855
Chr1	17681	-	CHG	0.5909090909090909
Chr1	17812	+	CHG	0.25
Chr1	17814	-	CHG	0.3333333333333333
Chr1	17834	-	CHG	0.5263157894736842
Chr1	17963	-	CHG	0.6666666666666666
Chr1	18060	-	CHG	0.7777777777777778
Chr1	18063	-	CHG	0.6666666666666666
Chr1	18094	-	CHG	0.8888888888888888
Chr1	18469	-	CHG	0.6
Chr1	18488	-	CHG	0.4
Chr1	18700	+	CHG	0.5
Chr1	18717	-	CHG	0.5
Chr1	18744	+	CHG	0.75
Chr1	18746	-	CHG	0.4666666666666667
Chr1	18790	+	CHG	0.09090909090909091
Chr1	18792	-	CHG	0.21052631578947367
Chr1	28799	+	CHG	0.1111111111111111
Chr1	29865	+	CHG	0.16666666666666666
Chr1	31559	+	CHG	0.15384615384615385
Chr1	35282	+	CHG	0.14285714285714285
Chr1	41407	+	CHG	0.25
Chr1	42633	-	CHG	0.06451612903225806
Chr1	42668	+	CHG	0.11764705882352941
Chr1	43819	-	CHG	0.25
Chr1	44685	+	CHG	0.5384615384615384
Chr1	44687	-	CHG	0.8
Chr1	44691	+	CHG	0.5
Chr1	44693	-	CHG	0.3
Chr1	44698	+	CHG	0.7
Chr1	44700	-	CHG	0.6
Chr1	44714	+	CHG	0.8
Chr1	44716	-	CHG	0.875
Chr1	44723	+	CHG	0.8888888888888888
Chr1	44725	-	CHG	0.8571428571428571
Chr1	44738	+	CHG	1.0
Chr1	44740	-	CHG	1.0
Chr1	45647	-	CHG	0.2
Chr1	53046	+	CHG	0.14285714285714285
Chr1	54202	+	CHG	0.2
Chr1	55705	+	CHG	0.4444444444444444
Chr1	55707	-	CHG	0.8
Chr1	55844	-	CHG	0.16666666666666666
Chr1	55868	-	CHG	1.0
Chr1	55932	-	CHG	1.0
Chr1	55966	-	CHG	0.8571428571428571
Chr1	55990	-	CHG	0.5
Chr1	56120	+	CHG	0.5
Chr1	56147	+	CHG	0.5
Chr1	56172	+	CHG	0.7777777777777778
Chr1	56201	+	CHG	0.625
Chr1	56380	+	CHG	0.875
Chr1	56382	-	CHG	0.8333333333333334
Chr1	56449	+	CHG	0.8571428571428571
Chr1	56451	-	CHG	0.4
Chr1	56461	-	CHG	0.4
Chr1	56489	+	CHG	0.8
Chr1	56491	-	CHG	0.75
Chr1	56522	-	CHG	0.5714285714285714
Chr1	56539	-	CHG	0.5555555555555556
Chr1	56546	+	CHG	0.4
Chr1	56548	-	CHG	0.25
Chr1	57991	-	CHG	0.14285714285714285
Chr1	58013	-	CHG	0.16666666666666666
Chr1	58478	+	CHG	0.2
Chr1	61747	-	CHG	0.06666666666666667
Chr1	70683	+	CHG	0.16666666666666666
Chr1	73819	+	CHG	0.13333333333333333
Chr1	76786	+	CHG	0.1
Chr1	76803	+	CHG	0.11764705882352941
Chr1	76805	-	CHG	0.2
Chr1	76851	+	CHG	0.2857142857142857
Chr1	76853	-	CHG	0.3333333333333333
Chr1	76910	+	CHG	0.6
Chr1	76912	-	CHG	0.4166666666666667
Chr1	76932	+	CHG	0.3333333333333333
Chr1	76934	-	CHG	0.4
Chr1	76946	-	CHG	0.3
Chr1	77034	+	CHG	0.5
Chr1	77098	+	CHG	0.2727272727272727
Chr1	77165	+	CHG	0.3333333333333333
Chr1	77191	+	CHG	0.2222222222222222
Chr1	77215	+	CHG	0.4444444444444444
Chr1	77226	+	CHG	0.625
Chr1	77229	+	CHG	0.8888888888888888
Chr1	77253	+	CHG	0.2857142857142857
Chr1	77371	+	CHG	0.5384615384615384
Chr1	77391	+	CHG	0.5
Chr1	77394	-	CHG	0.8333333333333334
Chr1	77408	+	CHG	0.6923076923076923
Chr1	77410	-	CHG	0.5714285714285714
Chr1	77513	+	CHG	0.42857142857142855
Chr1	77539	+	CHG	0.25
Chr1	90376	+	CHG	0.13333333333333333
Chr1	91906	+	CHG	0.16666666666666666
Chr1	93172	-	CHG	0.25
Chr1	95725	-	CHG	0.16666666666666666
Chr1	99073	-	CHG	0.2
Chr1	110705	+	CHG	0.2
Chr1	118376	-	CHG	0.16666666666666666
Chr1	127517	-	CHG	0.16666666666666666
Chr1	147449	+	CHG	0.08
Chr1	147459	+	CHG	0.07692307692307693
Chr1	151955	-	CHG	0.16666666666666666
Chr1	155507	+	CHG	0.2
Chr1	156007	-	CHG	0.2
Chr1	160570	-	CHG	0.14285714285714285
Chr1	161124	-	CHG	0.16666666666666666
Chr1	176473	-	CHG	0.25
Chr1	192393	+	CHG	0.13333333333333333
Chr1	192998	-	CHG	0.09090909090909091
Chr1	193401	+	CHG	0.21428571428571427
Chr1	193403	-	CHG	0.18181818181818182
Chr1	193550	+	CHG	0.42857142857142855
Chr1	193552	-	CHG	0.7142857142857143
Chr1	193569	+	CHG	0.6666666666666666
Chr1	193571	-	CHG	0.16666666666666666
Chr1	196238	-	CHG	0.2
Chr1	198313	+	CHG	0.16666666666666666
Chr1	198316	+	CHG	0.16666666666666666
Chr1	198325	+	CHG	0.16666666666666666
Chr1	202022	-	CHG	0.13333333333333333
Chr1	207000	-	CHG	0.14285714285714285
Chr1	207004	-	CHG	0.14285714285714285
Chr1	213424	-	CHG	0.08333333333333333
Chr1	213478	-	CHG	0.10526315789473684
Chr1	213633	+	CHG	0.23529411764705882
Chr1	213635	-	CHG	0.21428571428571427
Chr1	214580	+	CHG	0.09090909090909091
Chr1	217530	-	CHG	0.2
Chr1	222674	+	CHG	0.16666666666666666
Chr1	222682	+	CHG	0.16666666666666666
Chr1	222685	+	CHG	0.16666666666666666
Chr1	223721	+	CHG	0.14285714285714285
Chr1	229193	+	CHG	0.16666666666666666
Chr1	233228	+	CHG	0.2
Chr1	238319	+	CHG	0.3
Chr1	238321	-	CHG	0.3333333333333333
Chr1	238347	+	CHG	0.8571428571428571
Chr1	238349	-	CHG	0.8888888888888888
Chr1	238367	+	CHG	0.6666666666666666
Chr1	238370	-	CHG	0.7777777777777778
Chr1	238390	+	CHG	0.875
Chr1	238392	-	CHG	0.625
Chr1	238420	-	CHG	0.16666666666666666
Chr1	238456	-	CHG	1.0
Chr1	238512	+	CHG	1.0
Chr1	238625	+	CHG	0.8
Chr1	238659	+	CHG	0.8571428571428571
Chr1	238668	+	CHG	1.0
Chr1	238695	+	CHG	0.6
Chr1	238708	+	CHG	0.6
Chr1	238722	+	CHG	1.0
Chr1	238741	+	CHG	1.0
Chr1	238994	+	CHG	0.6666666666666666
Chr1	239045	+	CHG	0.8333333333333334
Chr1	239143	+	CHG	0.8571428571428571
Chr1	255806	-	CHG	0.10714285714285714
Chr1	255856	+	CHG	0.23076923076923078
Chr1	255858	-	CHG	0.16666666666666666
Chr1	255892	+	CHG	0.5
Chr1	255894	-	CHG	0.5
Chr1	255977	-	CHG	0.1
Chr1	256110	+	CHG	0.3157894736842105
Chr1	256112	-	CHG	0.2
Chr1	256175	+	CHG	0.3333333333333333
Chr1	256177	-	CHG	0.6666666666666666
Chr1	256419	+	CHG	0.07142857142857142
Chr1	256421	-	CHG	0.2
Chr1	256620	-	CHG	0.2727272727272727
Chr1	256651	+	CHG	0.29411764705882354
Chr1	256653	-	CHG	0.3181818181818182
Chr1	257400	-	CHG	0.16666666666666666
Chr1	257743	+	CHG	0.8461538461538461
Chr1	257745	-	CHG	0.9375
Chr1	257789	+	CHG	0.2222222222222222
Chr1	257791	-	CHG	0.5333333333333333
Chr1	257801	+	CHG	0.4444444444444444
Chr1	257803	-	CHG	0.4
Chr1	257914	+	CHG	0.3333333333333333
Chr1	257916	-	CHG	0.5555555555555556
Chr1	258536	+	CHG	0.8
Chr1	258548	+	CHG	0.8571428571428571
Chr1	258576	+	CHG	0.6666666666666666
Chr1	258594	+	CHG	0.8
Chr1	258668	+	CHG	0.75
Chr1	268475	+	CHG	0.2
Chr1	268768	-	CHG	0.16666666666666666
Chr1	272117	+	CHG	0.16666666666666666
Chr1	276677	+	CHG	0.16666666666666666
Chr1	280315	+	CHG	0.16666666666666666
Chr1	282397	-	CHG	0.16666666666666666
Chr1	283810	+	CHG	0.16666666666666666
Chr1	290359	-	CHG	0.14285714285714285
Chr1	291887	+	CHG	1.0
Chr1	291889	-	CHG	0.9
Chr1	291945	+	CHG	0.5714285714285714
Chr1	291947	-	CHG	0.6666666666666666
Chr1	291993	+	CHG	0.2
Chr1	292011	+	CHG	0.2
Chr1	292084	-	CHG	1.0
Chr1	292105	-	CHG	1.0
Chr1	292127	-	CHG	0.6
Chr1	292174	+	CHG	0.4
Chr1	292254	-	CHG	0.8
Chr1	292258	-	CHG	0.8333333333333334
Chr1	292311	-	CHG	0.3333333333333333
Chr1	292367	-	CHG	0.625
Chr1	292370	-	CHG	0.5
Chr1	292388	-	CHG	1.0
Chr1	292417	-	CHG	0.9090909090909091
Chr1	292421	-	CHG	0.8333333333333334
Chr1	292462	-	CHG	0.2857142857142857
Chr1	292472	-	CHG	0.5384615384615384
Chr1	292487	-	CHG	0.5384615384615384
Chr1	292508	-	CHG	0.3333333333333333
Chr1	292606	+	CHG	0.125
Chr1	295143	+	CHG	0.16666666666666666
Chr1	298175	-	CHG	0.2
Chr1	301952	+	CHG	0.2
Chr1	312276	+	CHG	0.2
Chr1	314170	-	CHG	0.25
Chr1	314552	+	CHG	0.2
Chr1	314975	-	CHG	0.2
Chr1	321264	-	CHG	0.16666666666666666
Chr1	321294	-	CHG	0.16666666666666666
Chr1	325312	-	CHG	0.16666666666666666
Chr1	328204	+	CHG	0.16666666666666666
Chr1	328462	-	CHG	0.16666666666666666
Chr1	328465	-	CHG	0.2
Chr1	328988	-	CHG	0.16666666666666666
Chr1	329847	-	CHG	0.2
Chr1	332508	-	CHG	0.14285714285714285
Chr1	334513	+	CHG	0.14285714285714285
Chr1	336026	+	CHG	0.16666666666666666
Chr1	336879	-	CHG	0.16666666666666666
Chr1	343688	-	CHG	0.2
Chr1	349930	+	CHG	0.16666666666666666
Chr1	349961	+	CHG	0.2
Chr1	350712	+	CHG	0.14285714285714285
Chr1	354941	-	CHG	0.3333333333333333
Chr1	356081	+	CHG	0.2
Chr1	359738	+	CHG	0.2
Chr1	364668	-	CHG	0.1111111111111111
Chr1	368081	-	CHG	0.16666666666666666
Chr1	372447	+	CHG	0.18181818181818182
Chr1	372449	-	CHG	0.11764705882352941
Chr1	372549	+	CHG	0.42857142857142855
Chr1	372551	-	CHG	0.45454545454545453
Chr1	375131	-	CHG	0.16666666666666666
Chr1	376247	+	CHG	0.16666666666666666
Chr1	381460	+	CHG	0.16666666666666666
