Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene_1	jgi.p|Botci1|1	Supercontig_1.1	-	2312	3385	0.703153	0.586182	0.605288
gene_2	jgi.p|Botci1|2	Supercontig_1.1	+	4181	6006	1.199588	1.000034	1.032629
gene_3	jgi.p|Botci1|3	Supercontig_1.1	+	6330	7741	5.219320	4.351073	4.492895
gene_4	jgi.p|Botci1|4	Supercontig_1.1	-	10016	12049	15.694098	13.083347	13.509792
gene_8	jgi.p|Botci1|8	Supercontig_1.1	-	18030	19651	2.025243	1.688339	1.743370
gene_5	jgi.p|Botci1|5	Supercontig_1.1	-	14754	14861	24.314816	20.269987	20.930679
gene_6	jgi.p|Botci1|6	Supercontig_1.1	+	15248	15469	3.103604	2.587312	2.671644
gene_7	jgi.p|Botci1|7	Supercontig_1.1	+	15916	17130	63.799999	53.186714	54.920315
gene_9	jgi.p|Botci1|9	Supercontig_1.1	+	21637	23146	18.854876	15.718321	16.230654
gene_19	jgi.p|Botci1|19	Supercontig_1.1	-	36635	38315	2.367220	1.973427	2.037750
gene_20	jgi.p|Botci1|20	Supercontig_1.1	+	39296	41569	0.975814	0.813485	0.840000
gene_21	jgi.p|Botci1|21	Supercontig_1.1	-	42401	42996	3.674820	3.063505	3.163358
gene_22	jgi.p|Botci1|22	Supercontig_1.1	-	45161	45820	0.324480	0.270502	0.279319
gene_15	jgi.p|Botci1|15	Supercontig_1.1	+	32381	32515	7.822223	6.520977	6.733526
gene_16	jgi.p|Botci1|16	Supercontig_1.1	+	33099	33403	5.832971	4.862642	5.021138
gene_17	jgi.p|Botci1|17	Supercontig_1.1	+	34196	35459	95.732262	79.806961	82.408234
gene_18	jgi.p|Botci1|18	Supercontig_1.1	-	35542	36206	120.555801	100.501045	103.776840
gene_10	jgi.p|Botci1|10	Supercontig_1.1	-	25105	26869	111.866356	93.257118	96.296791
gene_11	jgi.p|Botci1|11	Supercontig_1.1	-	27723	29647	219.480988	182.969788	188.933624
gene_12	jgi.p|Botci1|12	Supercontig_1.1	+	29978	30163	534.048401	445.208160	459.719543
gene_13	jgi.p|Botci1|13	Supercontig_1.1	+	30826	31149	349.024689	290.963593	300.447418
gene_14	jgi.p|Botci1|14	Supercontig_1.1	-	31667	32032	7.568048	6.309085	6.514727
gene_25	jgi.p|Botci1|25	Supercontig_1.1	-	48159	49115	49.805183	41.519970	42.873295
gene_26	jgi.p|Botci1|26	Supercontig_1.1	+	50711	51535	136.905045	114.130562	117.850594
gene_27	jgi.p|Botci1|27	Supercontig_1.1	-	52455	53708	43.988918	36.671253	37.866539
gene_28	jgi.p|Botci1|28	Supercontig_1.1	-	54184	54826	9.714069	8.098110	8.362064
gene_29	jgi.p|Botci1|29	Supercontig_1.1	+	56131	56289	23.189728	19.332060	19.962181
gene_30	jgi.p|Botci1|30	Supercontig_1.1	+	57965	60565	77.526962	64.630165	66.736755
gene_31	jgi.p|Botci1|31	Supercontig_1.1	-	61546	62440	25.376038	21.154671	21.844200
gene_32	jgi.p|Botci1|32	Supercontig_1.1	+	62755	64060	51.943516	43.302586	44.714016
gene_33	jgi.p|Botci1|33	Supercontig_1.1	-	64522	66009	21.234543	17.702126	18.279118
gene_38	jgi.p|Botci1|38	Supercontig_1.1	-	77399	77716	4.921348	4.102670	4.236394
gene_34	jgi.p|Botci1|34	Supercontig_1.1	-	66820	70198	11.546528	9.625734	9.939482
gene_35	jgi.p|Botci1|35	Supercontig_1.1	+	70509	71161	261.944855	218.369690	225.487350
gene_36	jgi.p|Botci1|36	Supercontig_1.1	-	71511	72595	49.022507	40.867493	42.199554
gene_37	jgi.p|Botci1|37	Supercontig_1.1	+	73206	75918	10.303320	8.589337	8.869304
gene_39	jgi.p|Botci1|39	Supercontig_1.1	+	78124	78330	1.241546	1.035012	1.068748
gene_40	jgi.p|Botci1|40	Supercontig_1.1	+	78718	79487	0.000000	0.000000	0.000000
gene_41	jgi.p|Botci1|41	Supercontig_1.1	+	81656	81862	44.309174	36.938232	38.142220
gene_42	jgi.p|Botci1|42	Supercontig_1.1	+	82540	83028	833.879639	695.161743	717.820190
gene_200	jgi.p|Botci1|200	Supercontig_1.1	+	499942	501186	5.516540	4.598850	4.748748
gene_199	jgi.p|Botci1|199	Supercontig_1.1	+	496999	498346	99.871414	83.257561	85.971306
